;Rank;Guild;Realm;ItemsLvl;name;class;faction;gender;race;url_with_background;url_character;ID
2799;2800; ;Kazzak;479.94;Acasia;druid;horde;FEMALE;troll;https://render-eu.worldofwarcraft.com/character/kazzak/84/171435860-main.jpg;https://render-eu.worldofwarcraft.com/character/kazzak/84/171435860-main-raw.png;acasia-kazzak
46021;46022;The Saviors;Magtheridon;472.88;Accuracy;hunter;horde;MALE;zandalari-troll;https://render-eu.worldofwarcraft.com/character/magtheridon/67/163910723-main.jpg;https://render-eu.worldofwarcraft.com/character/magtheridon/67/163910723-main-raw.png;accuracy-magtheridon
19246;19247;Retry;Blackmoore;476.25;Accuram;hunter;horde;MALE;tauren;https://render-eu.worldofwarcraft.com/character/blackmoore/47/136990255-main.jpg;https://render-eu.worldofwarcraft.com/character/blackmoore/47/136990255-main-raw.png;accuram-blackmoore
23696;23697;Epiunion;Ravencrest;475.63;Aceblade;paladin;alliance;MALE;human;https://render-eu.worldofwarcraft.com/character/ravencrest/15/102937103-main.jpg;https://render-eu.worldofwarcraft.com/character/ravencrest/15/102937103-main-raw.png;aceblade-ravencrest
19472;19473;Its Something;Colinas Pardas;476.19;Acerita;shaman;alliance;FEMALE;draenei;https://render-eu.worldofwarcraft.com/character/colinas-pardas/193/92842177-main.jpg;https://render-eu.worldofwarcraft.com/character/colinas-pardas/193/92842177-main-raw.png;acerita-colinas pardas
40239;40240;Shadow Swords;Nazjatar;473.63;Achillês;demon-hunter;alliance;MALE;night-elf;https://render-eu.worldofwarcraft.com/character/nazjatar/74/123424842-main.jpg;https://render-eu.worldofwarcraft.com/character/nazjatar/74/123424842-main-raw.png;achillês-nazjatar
574;575; ;Sylvanas;481.5;Achmo;druid;alliance;MALE;kul-tiran;https://render-eu.worldofwarcraft.com/character/sylvanas/248/224840440-main.jpg;https://render-eu.worldofwarcraft.com/character/sylvanas/248/224840440-main-raw.png;achmo-sylvanas
16643;16644;The Legions Requiem;Draenor;476.69;Acidin;paladin;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/draenor/137/134401417-main.jpg;https://render-eu.worldofwarcraft.com/character/draenor/137/134401417-main-raw.png;acidin-draenor
16388;16389;The Eternal;Outland;476.69;Acidlsd;demon-hunter;alliance;FEMALE;night-elf;https://render-eu.worldofwarcraft.com/character/outland/110/180234094-main.jpg;https://render-eu.worldofwarcraft.com/character/outland/110/180234094-main-raw.png;acidlsd-outland
19492;19493;Antichambre;Elune;476.19;Ackrö;paladin;alliance;MALE;human;https://render-eu.worldofwarcraft.com/character/elune/248/133562872-main.jpg;https://render-eu.worldofwarcraft.com/character/elune/248/133562872-main-raw.png;ackrö-elune
38645;38646;Bad Voodoo;Destromath;473.81;Aclais;rogue;horde;MALE;zandalari-troll;https://render-eu.worldofwarcraft.com/character/destromath/97/140527713-main.jpg;https://render-eu.worldofwarcraft.com/character/destromath/97/140527713-main-raw.png;aclais-destromath
28069;28070;Key Depleter;Chamber of Aspects;475.06;Aclapalypse;warrior;alliance;FEMALE;night-elf;https://render-eu.worldofwarcraft.com/character/chamber-of-aspects/108/186048620-main.jpg;https://render-eu.worldofwarcraft.com/character/chamber-of-aspects/108/186048620-main-raw.png;aclapalypse-chamber of aspects
3739;3740; ;Ravencrest;479.63;Acloco;warrior;alliance;MALE;human;https://render-eu.worldofwarcraft.com/character/ravencrest/75/67125323-main.jpg;https://render-eu.worldofwarcraft.com/character/ravencrest/75/67125323-main-raw.png;acloco-ravencrest
10217;10218;Inch Company;Frostwolf;477.94;Acol;warrior;horde;MALE;blood-elf;https://render-eu.worldofwarcraft.com/character/frostwolf/0/109305088-main.jpg;https://render-eu.worldofwarcraft.com/character/frostwolf/0/109305088-main-raw.png;acol-frostwolf
26172;26173;Principal;Draenor;475.31;Acrestfallen;paladin;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/draenor/50/132270386-main.jpg;https://render-eu.worldofwarcraft.com/character/draenor/50/132270386-main-raw.png;acrestfallen-draenor
24771;24439; ;Thrall;475.5;Acune;paladin;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/thrall/233/141871593-main.jpg;https://render-eu.worldofwarcraft.com/character/thrall/233/141871593-main-raw.png;acune-thrall
621;614; ;Kazzak;481.38;Acë;rogue;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/kazzak/234/159496170-main.jpg;https://render-eu.worldofwarcraft.com/character/kazzak/234/159496170-main-raw.png;acë-kazzak
40678;40679;Magnitude;Ravencrest;473.56;Adaduskbloom;demon-hunter;alliance;FEMALE;night-elf;https://render-eu.worldofwarcraft.com/character/ravencrest/141/116661133-main.jpg;https://render-eu.worldofwarcraft.com/character/ravencrest/141/116661133-main-raw.png;adaduskbloom-ravencrest
24638;24639;Phalanx;Runetotem;475.5;Adaro;demon-hunter;alliance;MALE;night-elf;https://render-eu.worldofwarcraft.com/character/runetotem/208/208344272-main.jpg;https://render-eu.worldofwarcraft.com/character/runetotem/208/208344272-main-raw.png;adaro-runetotem
16598;16599; ;Kazzak;476.69;Adblocker;hunter;horde;FEMALE;maghar-orc;https://render-eu.worldofwarcraft.com/character/kazzak/102/168334438-main.jpg;https://render-eu.worldofwarcraft.com/character/kazzak/102/168334438-main-raw.png;adblocker-kazzak
11209;11210; ;Tarren Mill;477.69;Addemonster;death-knight;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/tarren-mill/128/153987456-main.jpg;https://render-eu.worldofwarcraft.com/character/tarren-mill/128/153987456-main-raw.png;addemonster-tarren mill
9510;9511;Beyond Harmless;Sylvanas;478.13;Adeqt;hunter;alliance;FEMALE;human;https://render-eu.worldofwarcraft.com/character/sylvanas/160/215835040-main.jpg;https://render-eu.worldofwarcraft.com/character/sylvanas/160/215835040-main-raw.png;adeqt-sylvanas
14871;14872;Do You Need;Tarren Mill;477.0;Adise;mage;horde;MALE;goblin;https://render-eu.worldofwarcraft.com/character/tarren-mill/75/112211531-main.jpg;https://render-eu.worldofwarcraft.com/character/tarren-mill/75/112211531-main-raw.png;adise-tarren mill
49416;49417;Les Pingouins Avar..;Hyjal;472.06;Adjaxx;demon-hunter;horde;MALE;blood-elf;https://render-eu.worldofwarcraft.com/character/hyjal/207/166335951-main.jpg;https://render-eu.worldofwarcraft.com/character/hyjal/207/166335951-main-raw.png;adjaxx-hyjal
46528;46529;The Nest;Twisting Nether;472.81;Adrealind;demon-hunter;horde;MALE;blood-elf;https://render-eu.worldofwarcraft.com/character/twisting-nether/44/135584812-main.jpg;https://render-eu.worldofwarcraft.com/character/twisting-nether/44/135584812-main-raw.png;adrealind-twisting nether
32663;32664;Wipe Res Rebuff;Draenor;474.56;Adreririth;paladin;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/draenor/113/111418481-main.jpg;https://render-eu.worldofwarcraft.com/character/draenor/113/111418481-main-raw.png;adreririth-draenor
20953;20742;Sin riesgos no ganas;Dun Modr;476.0;Adresteya;demon-hunter;alliance;FEMALE;night-elf;https://render-eu.worldofwarcraft.com/character/dun-modr/199/161667527-main.jpg;https://render-eu.worldofwarcraft.com/character/dun-modr/199/161667527-main-raw.png;adresteya-dun modr
24561;24562;Sin riesgos no ganas;Dun Modr;475.5;Adrinä;hunter;alliance;FEMALE;human;https://render-eu.worldofwarcraft.com/character/dun-modr/212/138660308-main.jpg;https://render-eu.worldofwarcraft.com/character/dun-modr/212/138660308-main-raw.png;adrinä-dun modr
5268;5269; ;Die Silberne Hand;479.25;Adros;paladin;alliance;MALE;human;https://render-eu.worldofwarcraft.com/character/die-silberne-hand/73/157982281-main.jpg;https://render-eu.worldofwarcraft.com/character/die-silberne-hand/73/157982281-main-raw.png;adros-die silberne hand
39295;39296;The Divine Comedy;Tarren Mill;473.75;Adry;monk;horde;FEMALE;pandaren;https://render-eu.worldofwarcraft.com/character/tarren-mill/58/143642682-main.jpg;https://render-eu.worldofwarcraft.com/character/tarren-mill/58/143642682-main-raw.png;adry-tarren mill
27571;27572;Judge;Silvermoon;475.13;Adrénaline;demon-hunter;alliance;FEMALE;night-elf;https://render-eu.worldofwarcraft.com/character/silvermoon/52/153397812-main.jpg;https://render-eu.worldofwarcraft.com/character/silvermoon/52/153397812-main-raw.png;adrénaline-silvermoon
31209;31210;Ring Åklagarn;Ragnaros;474.69;Aduede;paladin;horde;MALE;blood-elf;https://render-eu.worldofwarcraft.com/character/ragnaros/47/116959791-main.jpg;https://render-eu.worldofwarcraft.com/character/ragnaros/47/116959791-main-raw.png;aduede-ragnaros
28849;28850;The Happy Few;Twisting Nether;475.0;Adánáli;hunter;horde;MALE;troll;https://render-eu.worldofwarcraft.com/character/twisting-nether/216/95278552-main.jpg;https://render-eu.worldofwarcraft.com/character/twisting-nether/216/95278552-main-raw.png;adánáli-twisting nether
9242;9243;BornToBeAmentia;Thrall;478.25;Adèmnius;druid;horde;MALE;zandalari-troll;https://render-eu.worldofwarcraft.com/character/thrall/63/142181183-main.jpg;https://render-eu.worldofwarcraft.com/character/thrall/63/142181183-main-raw.png;adèmnius-thrall
31207;31208;Progression Thieves;Silvermoon;474.69;Adöniss;hunter;alliance;FEMALE;lightforged-draenei;https://render-eu.worldofwarcraft.com/character/silvermoon/173/184319149-main.jpg;https://render-eu.worldofwarcraft.com/character/silvermoon/173/184319149-main-raw.png;adöniss-silvermoon
37982;37983; ;Ysondre;473.94;Aedrill;monk;horde;FEMALE;pandaren;https://render-eu.worldofwarcraft.com/character/ysondre/64/117961792-main.jpg;https://render-eu.worldofwarcraft.com/character/ysondre/64/117961792-main-raw.png;aedrill-ysondre
39877;39878;Forti Meirz;Nemesis;473.69;Aeglosx;demon-hunter;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/nemesis/209/186097873-main.jpg;https://render-eu.worldofwarcraft.com/character/nemesis/209/186097873-main-raw.png;aeglosx-nemesis
43775;43776;Yövuoro;Ravencrest;473.19;Aegonic;rogue;alliance;MALE;human;https://render-eu.worldofwarcraft.com/character/ravencrest/6/89800966-main.jpg;https://render-eu.worldofwarcraft.com/character/ravencrest/6/89800966-main-raw.png;aegonic-ravencrest
31683;31684;United By Fate;Arathor;474.69;Aegrah;druid;alliance;FEMALE;night-elf;https://render-eu.worldofwarcraft.com/character/arathor/28/121067804-main.jpg;https://render-eu.worldofwarcraft.com/character/arathor/28/121067804-main-raw.png;aegrah-arathor
4525;4526; ;Zenedar;479.44;Aelarath;death-knight;horde;MALE;orc;https://render-eu.worldofwarcraft.com/character/zenedar/190/95752894-main.jpg;https://render-eu.worldofwarcraft.com/character/zenedar/190/95752894-main-raw.png;aelarath-zenedar
36911;36912;Triade;Twisting Nether;474.06;Aelenthea;death-knight;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/twisting-nether/87/164306519-main.jpg;https://render-eu.worldofwarcraft.com/character/twisting-nether/87/164306519-main-raw.png;aelenthea-twisting nether
48982;48983;Konsequent In Kons..;Blackmoore;472.56;Aelindra;demon-hunter;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/blackmoore/232/148974824-main.jpg;https://render-eu.worldofwarcraft.com/character/blackmoore/232/148974824-main-raw.png;aelindra-blackmoore
13385;13386;DVS;Kazzak;477.25;Aelsalia;hunter;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/kazzak/42/65639722-main.jpg;https://render-eu.worldofwarcraft.com/character/kazzak/42/65639722-main-raw.png;aelsalia-kazzak
41245;41246;Conventus;Stormscale;473.5;Aelyionus;demon-hunter;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/stormscale/21/98960917-main.jpg;https://render-eu.worldofwarcraft.com/character/stormscale/21/98960917-main-raw.png;aelyionus-stormscale
7352;7353; ;Eredar;478.88;Aelynthi;monk;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/eredar/85/102806101-main.jpg;https://render-eu.worldofwarcraft.com/character/eredar/85/102806101-main-raw.png;aelynthi-eredar
3790;3791; ;Ravencrest;479.63;Aelyssar;druid;alliance;FEMALE;night-elf;https://render-eu.worldofwarcraft.com/character/ravencrest/235/100418795-main.jpg;https://render-eu.worldofwarcraft.com/character/ravencrest/235/100418795-main-raw.png;aelyssar-ravencrest
18269;18270;Eat Sleep Deplete ..;Antonidas;476.38;Aelìn;mage;alliance;FEMALE;human;https://render-eu.worldofwarcraft.com/character/antonidas/209/116305617-main.jpg;https://render-eu.worldofwarcraft.com/character/antonidas/209/116305617-main-raw.png;aelìn-antonidas
28596;28597;Group Therapy;Les Sentinelles;475.0;Aelÿa;druid;alliance;FEMALE;night-elf;https://render-eu.worldofwarcraft.com/character/les-sentinelles/118/82942582-main.jpg;https://render-eu.worldofwarcraft.com/character/les-sentinelles/118/82942582-main-raw.png;aelÿa-les sentinelles
48468;48469;Biohazard;Magtheridon;472.63;Aemaril;mage;alliance;FEMALE;void-elf;https://render-eu.worldofwarcraft.com/character/magtheridon/130/163832706-main.jpg;https://render-eu.worldofwarcraft.com/character/magtheridon/130/163832706-main-raw.png;aemaril-magtheridon
28263;28264;Battle Scarred;Argent Dawn;475.06;Aendren;mage;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/argent-dawn/130/143460226-main.jpg;https://render-eu.worldofwarcraft.com/character/argent-dawn/130/143460226-main-raw.png;aendren-argent dawn
7441;7442;F A D E;Silvermoon;478.88;Aeonlife;druid;alliance;MALE;night-elf;https://render-eu.worldofwarcraft.com/character/silvermoon/111/156800623-main.jpg;https://render-eu.worldofwarcraft.com/character/silvermoon/111/156800623-main-raw.png;aeonlife-silvermoon
10480;10481; ;Twisting Nether;477.88;Aeralond;demon-hunter;horde;MALE;blood-elf;https://render-eu.worldofwarcraft.com/character/twisting-nether/170/124574122-main.jpg;https://render-eu.worldofwarcraft.com/character/twisting-nether/170/124574122-main-raw.png;aeralond-twisting nether
39000;39001;Nolifers;Kazzak;473.81;Aereana;monk;horde;FEMALE;orc;https://render-eu.worldofwarcraft.com/character/kazzak/107/148456555-main.jpg;https://render-eu.worldofwarcraft.com/character/kazzak/107/148456555-main-raw.png;aereana-kazzak
28910;28911;Shadowmeld;Sylvanas;475.0;Aeriüs;warrior;alliance;MALE;human;https://render-eu.worldofwarcraft.com/character/sylvanas/163/216192163-main.jpg;https://render-eu.worldofwarcraft.com/character/sylvanas/163/216192163-main-raw.png;aeriüs-sylvanas
20837;20838;Barely Grown Up;Silvermoon;476.0;Aerosis;shaman;alliance;FEMALE;draenei;https://render-eu.worldofwarcraft.com/character/silvermoon/29/173980189-main.jpg;https://render-eu.worldofwarcraft.com/character/silvermoon/29/173980189-main-raw.png;aerosis-silvermoon
7383;7255; ;Eredar;478.88;Aerow;paladin;horde;MALE;blood-elf;https://render-eu.worldofwarcraft.com/character/eredar/89/102355545-main.jpg;https://render-eu.worldofwarcraft.com/character/eredar/89/102355545-main-raw.png;aerow-eredar
34840;34841;Harmony;Hellfire;474.31;Aertrix;druid;alliance;FEMALE;night-elf;https://render-eu.worldofwarcraft.com/character/hellfire/215/61989079-main.jpg;https://render-eu.worldofwarcraft.com/character/hellfire/215/61989079-main-raw.png;aertrix-hellfire
2581;2582; ;Los Errantes;480.0;Aesha;druid;alliance;FEMALE;night-elf;https://render-eu.worldofwarcraft.com/character/los-errantes/249/146765305-main.jpg;https://render-eu.worldofwarcraft.com/character/los-errantes/249/146765305-main-raw.png;aesha-los errantes
14860;14861;Abandoned;Ravencrest;477.0;Aesope;druid;alliance;FEMALE;night-elf;https://render-eu.worldofwarcraft.com/character/ravencrest/205/116797645-main.jpg;https://render-eu.worldofwarcraft.com/character/ravencrest/205/116797645-main-raw.png;aesope-ravencrest
2779;2780; ;Outland;479.94;Aeternitaz;mage;alliance;MALE;human;https://render-eu.worldofwarcraft.com/character/outland/233/67584233-main.jpg;https://render-eu.worldofwarcraft.com/character/outland/233/67584233-main-raw.png;aeternitaz-outland
34074;34075;Legion of Dracula;Ravencrest;474.38;Aetholus;demon-hunter;alliance;MALE;night-elf;https://render-eu.worldofwarcraft.com/character/ravencrest/108/98337388-main.jpg;https://render-eu.worldofwarcraft.com/character/ravencrest/108/98337388-main-raw.png;aetholus-ravencrest
45304;45305;Niebelungen;Khaz Modan;473.0;Aezola;demon-hunter;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/khaz-modan/193/124753089-main.jpg;https://render-eu.worldofwarcraft.com/character/khaz-modan/193/124753089-main-raw.png;aezola-khaz modan
4703;4704; ;Blackrock;479.38;Affinity;druid;horde;MALE;zandalari-troll;https://render-eu.worldofwarcraft.com/character/blackrock/4/72770308-main.jpg;https://render-eu.worldofwarcraft.com/character/blackrock/4/72770308-main-raw.png;affinity-blackrock
21301;21302;Me Smash;Kazzak;475.94;Afflilol;warlock;horde;FEMALE;troll;https://render-eu.worldofwarcraft.com/character/kazzak/202/168435402-main.jpg;https://render-eu.worldofwarcraft.com/character/kazzak/202/168435402-main-raw.png;afflilol-kazzak
6849;6850; ;Tarren Mill;479.0;Afiniasmenos;druid;horde;MALE;tauren;https://render-eu.worldofwarcraft.com/character/tarren-mill/180/157675956-main.jpg;https://render-eu.worldofwarcraft.com/character/tarren-mill/180/157675956-main-raw.png;afiniasmenos-tarren mill
45172;45039;Teldrassil BBQ Party;Stormscale;473.0;Aflame;mage;horde;FEMALE;nightborne;https://render-eu.worldofwarcraft.com/character/stormscale/246/116274934-main.jpg;https://render-eu.worldofwarcraft.com/character/stormscale/246/116274934-main-raw.png;aflame-stormscale
24216;24217;Totam Warriors;Kazzak;475.56;Afriend;demon-hunter;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/kazzak/14/142533390-main.jpg;https://render-eu.worldofwarcraft.com/character/kazzak/14/142533390-main-raw.png;afriend-kazzak
12384;12385;S a n c t u m;Kazzak;477.44;Afshindk;death-knight;horde;MALE;goblin;https://render-eu.worldofwarcraft.com/character/kazzak/198/173677766-main.jpg;https://render-eu.worldofwarcraft.com/character/kazzak/198/173677766-main-raw.png;afshindk-kazzak
12895;12896;Hyperactive;Silvermoon;477.38;Agalloch;death-knight;alliance;FEMALE;void-elf;https://render-eu.worldofwarcraft.com/character/silvermoon/36/179362852-main.jpg;https://render-eu.worldofwarcraft.com/character/silvermoon/36/179362852-main-raw.png;agalloch-silvermoon
41978;41979;Neues vom Geisthei..;Blackhand;473.44;Agaton;shaman;horde;MALE;goblin;https://render-eu.worldofwarcraft.com/character/blackhand/111/118294127-main.jpg;https://render-eu.worldofwarcraft.com/character/blackhand/111/118294127-main-raw.png;agaton-blackhand
10955;10956;Ehre und Stärke;Teldrassil;477.75;Aggropwz;paladin;alliance;MALE;dwarf;https://render-eu.worldofwarcraft.com/character/teldrassil/25/156101657-main.jpg;https://render-eu.worldofwarcraft.com/character/teldrassil/25/156101657-main-raw.png;aggropwz-teldrassil
